index,coffeeName,rating,rating_count,url,24_hours,lon,lan
15,عنوان القهوة,4.1,53,https://www.google.com/maps/place/%D8%B9%D9%86%D9%88%D8%A7%D9%86+%D8%A7%D9%84%D9%82%D9%87%D9%88%D8%A9%E2%80%AD/data=!4m7!3m6!1s0x3e2fa9e93490fabb:0x2c8314bd3011f26b!8m2!3d24.7125499!4d46.836938!16s%2Fg%2F11tbz48c6l!19sChIJu_qQNOmpLz4Ra_IRML0Ugyw?authuser=0&hl=en&rclk=1,False,46.836938,24.7125499
16,Barista Tools,4.0,455,https://www.google.com/maps/place/Barista+Tools/data=!4m7!3m6!1s0x3e2efdf26d4c8095:0x2be11916201e39a8!8m2!3d24.7774284!4d46.6878705!16s%2Fg%2F11nxg0fjgl!19sChIJlYBMbfL9Lj4RqDkeIBYZ4Ss?authuser=0&hl=en&rclk=1,False,46.6878705,24.7774284
17,barn’s cafe,4.2,76,https://www.google.com/maps/place/barn%E2%80%99s+cafe/data=!4m7!3m6!1s0x3e2f1138e20ff0e7:0xa5b4c9e5a7006df3!8m2!3d24.5525426!4d46.6258991!16s%2Fg%2F11rzr217l2!19sChIJ5_AP4jgRLz4R820Ap-XJtKU?authuser=0&hl=en&rclk=1,False,46.6258991,24.5525426
18,blue beans bakery & cafe بلو بينز,4.6,148,https://www.google.com/maps/place/blue+beans+bakery+%26+cafe+%D8%A8%D9%84%D9%88+%D8%A8%D9%8A%D9%86%D8%B2%E2%80%AD/data=!4m7!3m6!1s0x3e2efd49228a65bf:0x6849077cde9ae057!8m2!3d24.7859556!4d46.6579725!16s%2Fg%2F11rb33r211!19sChIJv2WKIkn9Lj4RV-Ca3nwHSWg?authuser=0&hl=en&rclk=1,False,46.6579725,24.7859556
19,Eve Cafe,3.6,19,https://www.google.com/maps/place/Eve+Cafe/data=!4m7!3m6!1s0x3e2efe32cc95c103:0xc5f122e607201fce!8m2!3d24.7954196!4d46.786493!16s%2Fg%2F11cryznd1v!19sChIJA8GVzDL-Lj4Rzh8gB-Yi8cU?authuser=0&hl=en&rclk=1,False,46.786493,24.7954196
20,بلد المسافر لشيش والمعسلات طريق القصيم,3.2,54,https://www.google.com/maps/place/%D8%A8%D9%84%D8%AF+%D8%A7%D9%84%D9%85%D8%B3%D8%A7%D9%81%D8%B1+%D9%84%D8%B4%D9%8A%D8%B4+%D9%88%D8%A7%D9%84%D9%85%D8%B9%D8%B3%D9%84%D8%A7%D8%AA+%D8%B7%D8%B1%D9%8A%D9%82+%D8%A7%D9%84%D9%82%D8%B5%D9%8A%D9%85%E2%80%AD/data=!4m7!3m6!1s0x3e2ee982c000e75b:0x808042e8f095f366!8m2!3d24.8826293!4d46.5877106!16s%2Fg%2F11h_s5rpss!19sChIJW-cAwILpLj4RZvOV8OhCgIA?authuser=0&hl=en&rclk=1,False,46.5877106,24.8826293
21,Mark & Spencer Cafe,3.4,33,https://www.google.com/maps/place/Mark+%26+Spencer+Cafe/data=!4m7!3m6!1s0x3e2f1de734d489bd:0xb7728963d2ebb0b6!8m2!3d24.6925495!4d46.6699901!16s%2Fg%2F11h4zg6vtt!19sChIJvYnUNOcdLz4RtrDr0mOJcrc?authuser=0&hl=en&rclk=1,False,46.6699901,24.6925495
22,وزنة ورق لتقديم الشاي,5.0,37,https://www.google.com/maps/place/%D9%88%D8%B2%D9%86%D8%A9+%D9%88%D8%B1%D9%82+%D9%84%D8%AA%D9%82%D8%AF%D9%8A%D9%85+%D8%A7%D9%84%D8%B4%D8%A7%D9%8A%E2%80%AD/data=!4m7!3m6!1s0x3e2f077301f68b1b:0xd36b0619cf397f44!8m2!3d24.6766428!4d46.8016956!16s%2Fg%2F11sf2_yq0z!19sChIJG4v2AXMHLz4RRH85zxkGa9M?authuser=0&hl=en&rclk=1,False,46.8016956,24.6766428
23,Aromaz coffee,4.4,15,https://www.google.com/maps/place/Aromaz+coffee/data=!4m7!3m6!1s0x3e2efdea97eabc2d:0xac3d0bd678ed4351!8m2!3d24.8186445!4d46.6869512!16s%2Fg%2F11fmh7tz10!19sChIJLbzql-r9Lj4RUUPteNYLPaw?authuser=0&hl=en&rclk=1,False,46.6869512,24.8186445
24,Dunkin Donuts,4.2,471,https://www.google.com/maps/place/Dunkin+Donuts/data=!4m7!3m6!1s0x3e2ee179d12e29dd:0xdfd9514c47de3fa7!8m2!3d24.7677145!4d46.5773147!16s%2Fg%2F11fmrqqwf9!19sChIJ3Sku0XnhLj4Rpz_eR0xR2d8?authuser=0&hl=en&rclk=1,False,46.5773147,24.7677145
